Pulse height	Charge integral
0.104847	153
0.043783	60
0.025327	5
0.027963	34
0.040408	2
0.025221	3
0.046947	57
0.085653	122
0.109488	120
0.082489	144
0.038932	57
0.062767	75
0.037033	35
0.036823	17
0.138385	193
0.036084	4
0.056861	13
0.067407	86
0.051904	66
0.114866	179
0.036401	19
0.038405	40
0.125518	156
0.044416	15
0.091664	125
0.031233	2
0.052431	55
0.041463	6
0.051904	67
0.029124	18
0.033659	34
0.129632	214
0.037772	37
0.025432	12
0.036823	58
0.091137	114
0.040619	4
0.029967	8
0.125940	190
0.027963	13
0.076372	73
0.024589	2
0.084282	74
0.034397	2
0.045365	40
0.063822	81
0.023745	8
0.075423	3
0.031866	38
0.071731	119
0.025432	24
0.025749	26
0.033764	8
0.068989	108
0.038194	17
0.135327	156
0.049056	36
0.026592	35
0.057283	80
0.029651	32
0.043361	45
0.040619	9
0.026382	29
0.100523	151
0.047158	83
0.031760	11
0.040725	4
0.037983	24
0.041779	35
0.035979	11
0.072048	6
0.060552	59
0.030389	42
0.061185	93
0.034291	12
0.026698	3
0.050955	64
0.153888	205
0.032077	5
0.075423	109
0.051166	12
0.035979	4
0.090293	126
0.039037	53
0.050217	49
0.030600	13
0.031444	7
0.153467	169
0.039565	28
0.122460	172
0.061290	45
0.098519	133
0.092192	112
0.119507	143
0.037350	11
0.029651	15
0.038299	51
0.037244	13
0.040619	9
0.034186	13
0.059392	71
0.123620	212
0.154732	246
0.083438	121
0.048213	27
0.047264	62
0.140705	212
0.108750	153
0.031655	7
0.027331	17
0.026909	13
0.090926	109
0.058126	91
0.058970	3
0.058759	78
0.076161	97
0.106113	195
0.160849	227
0.045576	40
0.048424	12
0.102211	151
0.031655	28
0.028596	17
0.040092	50
0.039881	42
0.038615	36
0.063294	127
0.026382	13
0.035768	16
0.047580	49
0.061290	49
0.031655	30
0.026698	13
0.036401	4
0.029440	12
0.046525	68
0.125307	186
0.106218	169
0.036928	6
0.031760	10
0.047264	2
0.025960	22
0.034397	39
0.033975	39
0.089344	106
0.138174	233
0.044311	50
0.144502	256
0.040408	42
0.026276	2
0.141444	209
0.041041	11
0.026487	6
0.032815	43
0.038932	22
0.075212	102
0.110437	151
0.073630	93
0.063189	110
0.030178	2
0.049373	78
0.064454	47
0.054962	77
0.048424	6
0.177407	215
0.048318	52
0.066036	6
0.055490	49
0.062872	98
0.050322	53
0.071626	104
0.028491	7
0.050533	83
0.128577	191
0.044205	52
0.033131	25
0.110648	187
0.057915	59
0.083227	115
0.086496	142
0.028174	2
0.043150	15
0.114972	173
0.043889	41
0.067935	89
0.034291	9
0.122776	142
0.035873	47
0.079008	92
0.122144	181
0.031866	8
0.025116	31
0.145979	212
0.044311	62
0.027436	12
0.029651	7
0.076794	84
0.112968	130
0.036928	36
0.029335	10
0.103160	139
0.104109	173
0.047474	16
0.128261	182
0.056544	20
0.032182	13
0.033026	31
0.028913	9
0.049795	66
0.033975	8
0.058443	107
0.064771	83
0.044100	6
0.106113	192
0.055806	49
0.036084	12
0.077216	105
0.035768	31
0.097043	133
0.088500	129
0.136909	196
0.069095	36
0.120773	178
0.066669	84
0.037244	47
0.112863	170
0.049373	63
0.051271	58
0.041463	13
0.111703	140
0.029967	15
0.052220	76
0.034819	25
0.029756	48
0.025749	17
0.046103	5
0.059392	64
0.034608	12
0.107062	148
0.032604	3
0.028913	2
0.043045	35
0.027963	48
0.095461	121
0.081223	115
0.042729	14
0.061185	56
0.139756	165
0.026487	27
0.031549	34
0.121300	189
0.100840	176
0.026698	5
0.061079	103
0.039565	49
0.025116	6
0.078270	5
