Pulse height	Charge integral
0.044521	42
0.193649	306
0.218749	286
0.196074	309
0.024905	25
0.212527	309
0.053170	17
0.244905	340
0.051693	72
0.260513	351
0.037244	30
0.079219	20
0.256611	340
0.049900	11
0.035979	57
0.157263	233
0.210629	311
0.024272	24
0.238682	332
0.032393	6
0.225394	332
0.079325	21
0.217167	304
0.241952	338
0.140494	188
0.195653	278
0.133850	194
0.232776	323
0.192700	302
0.191328	316
0.229296	334
0.032077	6
0.045260	11
0.036928	18
0.255346	335
0.031549	16
0.025116	33
0.023850	20
0.024694	4
0.086075	146
0.222441	337
0.247858	308
0.224023	313
0.065509	7
0.061607	17
0.219698	290
0.061923	62
0.218222	305
0.219382	311
0.214214	331
0.243006	369
0.028702	4
0.263572	282
0.177934	315
0.301328	367
0.029229	13
0.200926	298
0.209047	311
0.046103	9
0.057072	6
0.053697	15
0.032920	39
0.103793	141
0.223812	325
0.033870	3
0.207781	285
0.203984	314
0.192594	298
0.211050	303
0.221808	316
0.034186	7
0.048529	72
0.025538	25
0.026698	15
0.249123	336
0.049689	67
0.264310	289
0.066036	12
0.224444	337
0.255029	355
0.212949	332
0.080379	18
0.030706	37
0.032920	9
0.236995	321
0.035241	5
0.035557	38
0.266103	333
0.028174	14
0.029651	36
0.029545	30
0.226132	334
0.106640	22
0.067829	78
0.239948	308
0.075001	15
0.255451	325
0.236784	310
0.036717	8
0.157474	268
0.052537	8
0.039143	9
0.039776	7
0.251232	374
0.047053	14
0.082911	9
0.203457	299
0.262201	318
0.194387	279
0.074790	88
0.216324	327
0.201980	307
0.238260	323
0.095777	11
0.025854	34
0.220648	272
0.215374	309
0.208203	320
0.030917	7
0.082383	103
0.236678	346
0.244166	310
0.041674	19
0.023007	18
0.088922	22
0.141338	252
0.221175	337
0.185950	242
0.124675	152
0.283821	374
0.054119	5
0.044521	11
0.214953	323
0.231827	319
0.244905	350
0.249967	330
0.209574	323
0.234358	321
0.238366	282
0.038932	6
0.029545	22
0.208097	295
0.225077	299
0.209468	287
0.025010	22
0.215691	276
0.200609	284
0.032182	24
0.191856	282
0.234885	343
0.044838	49
0.207781	305
0.023745	16
0.210523	342
0.207570	314
0.216745	310
0.046631	87
0.088606	6
0.206094	289
0.197656	307
0.214953	372
0.112230	166
0.030706	6
0.154732	222
0.259881	321
0.234569	369
0.025538	21
0.024800	23
0.035135	20
0.043045	13
0.037455	49
0.059181	88
0.250600	324
0.221597	349
0.158002	237
0.250600	337
0.031866	7
0.255662	320
0.276755	336
0.060869	74
0.189746	315
0.024694	30
0.049267	6
0.065087	2
0.037244	10
0.100207	151
0.031338	11
0.202297	300
0.198711	306
0.067935	75
0.051377	58
0.127522	150
0.043572	37
0.217695	307
0.036084	26
0.026487	6
0.212421	274
0.029440	24
0.028702	12
0.212105	269
0.231405	341
0.207254	335
0.026909	7
0.246381	304
0.041147	44
0.230772	336
0.228979	315
0.044205	31
0.212105	310
0.230034	294
0.036717	36
0.083438	20
0.047791	58
0.235202	309
0.223073	309
0.027225	17
0.283716	373
0.261673	329
0.077637	120
0.169814	275
0.034608	25
0.194598	328
0.222441	332
0.114761	34
0.237522	335
0.032815	38
0.257349	315
0.053275	35
0.153045	167
0.212949	325
0.039670	63
0.223284	320
0.240897	299
0.133850	136
0.051482	37
0.311453	343
0.099890	89
0.023429	19
0.246803	342
0.214531	307
0.027542	26
0.045682	9
0.082067	118
0.212843	305
0.028491	2
0.031233	2
0.211683	340
0.238999	283
0.026487	9
0.213265	317
0.042834	27
0.130897	185
0.269372	353
0.024589	5
0.038510	4
0.071942	73
0.046314	64
0.035557	42
0.054646	2
0.216429	345
0.024589	43
0.050427	4
0.224761	273
0.073946	45
0.229190	349
0.246065	201
0.041147	10
0.212000	288
0.200609	301
0.036506	8
0.026803	36
0.072786	9
0.217589	361
0.266947	335
0.226343	330
0.078692	3
0.230878	322
0.226343	300
0.034713	36
0.029229	32
0.071415	134
0.198078	285
0.070044	46
0.255346	309
0.025538	28
0.109699	163
0.029440	14
0.279603	330
0.031971	11
0.224866	285
0.229718	311
0.026803	9
0.080063	113
0.037350	13
0.042201	3
0.230561	263
0.041147	44
0.090610	99
0.043783	11
0.178567	299
0.025010	5
0.068778	5
0.077637	120
0.222124	299
0.030389	26
0.050533	44
0.036928	23
0.218538	304
0.028385	6
0.198922	304
0.045260	3
0.214742	341
0.035346	17
0.072153	29
0.044732	20
0.243639	313
0.029124	27
0.187532	201
0.257138	327
0.034080	12
0.211261	335
0.207992	278
0.248385	337
0.228979	297
0.052115	19
0.039565	60
0.027858	10
0.069622	90
0.199344	293
0.199660	312
0.246803	334
0.209574	315
0.024694	10
0.029651	32
0.220015	294
0.034080	21
0.209890	337
0.028596	19
0.250811	300
0.031549	19
0.041147	14
0.203984	275
0.079747	121
0.209152	319
0.105691	164
0.032393	24
0.130792	169
0.220015	285
0.270322	348
0.055279	8
0.231194	333
0.240475	325
0.038510	44
0.192594	303
0.052009	68
0.224339	315
0.244272	296
0.197445	183
0.025116	13
0.215164	329
0.224972	320
0.221386	333
0.038615	9
0.185001	270
0.218222	304
0.220226	318
0.225499	316
0.245221	323
0.204301	281
0.105058	168
0.292997	343
0.212738	323
0.051482	72
0.220226	338
0.050217	75
0.030495	22
0.026382	42
0.031866	24
0.027331	39
0.028174	29
0.198606	300
0.212843	338
0.042623	16
0.213160	339
0.247963	315
0.031444	16
0.217695	327
0.040092	37
0.210523	304
0.031655	15
0.030389	6
0.251865	370
0.024589	12
0.027858	5
0.028702	9
0.054541	7
0.033659	5
0.227186	307
0.227503	333
0.227503	326
0.224972	309
0.035662	3
0.225394	338
0.081645	96
0.060341	20
0.047053	52
0.031233	25
0.238577	315
0.130581	194
0.048213	85
0.051060	6
0.210312	340
0.221175	314
0.041674	41
0.218855	294
0.036190	20
0.027753	29
0.045365	7
0.066669	14
0.034502	23
0.027225	6
0.069938	12
0.254396	319
0.220753	320
0.023323	7
0.085125	105
0.231300	291
0.037666	7
0.220859	317
0.288462	357
0.023956	13
0.032709	48
0.028280	43
0.028069	26
0.032709	18
0.105691	126
0.033448	6
0.221702	308
0.217484	331
0.028069	33
0.044100	7
0.026698	21
0.033975	23
0.247436	327
0.249018	316
0.025854	6
0.236678	301
0.219382	340
0.026065	21
0.034713	32
0.047158	55
0.192910	292
0.240370	332
0.249229	333
0.223390	325
0.031233	8
0.031760	24
0.030389	15
0.041252	39
0.043467	57
0.025538	4
0.057177	6
0.032815	40
0.138174	25
0.203351	258
0.221491	307
0.034080	40
0.220542	288
0.283927	371
0.214847	296
0.075317	65
0.256400	318
0.065087	8
0.238788	273
0.026592	17
0.259459	315
0.183840	307
